Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
TSLA210226C00200000,2021-02-17 9:55AM EST,200,581.9,579.85,582.85,-3.6,-0.61%,20,1,345.31%
TSLA210226C00250000,2021-02-19 12:51PM EST,250,530.6,529.85,532.85,3,0.57%,3,9,290.63%
TSLA210226C00350000,2021-02-17 1:23PM EST,350,433.92,429.9,432.85,0,-,3,14,215.23%
TSLA210226C00360000,2021-02-10 2:36PM EST,360,453,419.9,422.95,0,-,5,7,218.36%
TSLA210226C00370000,2021-02-12 9:35AM EST,370,417.8,409.9,412.9,-7.25,-1.71%,2,14,206.64%
TSLA210226C00380000,2021-02-19 2:57PM EST,380,401.05,399.9,402.9,-6.55,-1.61%,53,6,199.61%
TSLA210226C00390000,2021-02-16 11:09AM EST,390,411.7,389.9,392.9,0,-,2,6,192.77%
TSLA210226C00400000,2021-02-18 11:47AM EST,400,391.8,379.9,382.9,1.4,0.36%,4,78,186.33%
TSLA210226C00410000,2021-02-16 2:38PM EST,410,379.05,369.9,373.05,-12.4,-3.17%,2,11,190.23%
TSLA210226C00420000,2021-02-19 1:14PM EST,420,362.35,359.9,362.95,-9.95,-2.67%,30,7,177.34%
TSLA210226C00430000,2021-02-19 3:28PM EST,430,347.72,349.95,353.05,-1.73,-0.50%,10,10,179.69%
TSLA210226C00440000,2021-02-19 2:44PM EST,440,340.31,339.95,343,3.46,1.03%,3,8,170.70%
TSLA210226C00450000,2021-02-18 3:02PM EST,450,341,329.95,333.15,0,-,16,19,171.29%
TSLA210226C00460000,2021-02-19 1:05PM EST,460,320.61,319.95,323.2,-14.94,-4.45%,7,4,166.80%
TSLA210226C00470000,2021-02-19 3:54PM EST,470,310.85,310,313.15,10.15,3.38%,25,22,160.55%
TSLA210226C00480000,2021-02-19 11:42AM EST,480,313.1,300,303.15,1.45,0.47%,2,13,154.49%
TSLA210226C00490000,2021-02-11 2:20PM EST,490,319.83,290,293.2,0,-,4,11,150.10%
TSLA210226C00500000,2021-02-19 2:05PM EST,500,278.56,280.05,283.35,-13.61,-4.66%,10,13,149.41%
TSLA210226C00510000,2021-02-19 11:44AM EST,510,282.85,270.05,273.3,7.61,2.76%,9,36,142.19%
TSLA210226C00520000,2021-02-17 10:21AM EST,520,254.1,260.1,263.35,0,-,6,8,138.57%
TSLA210226C00530000,2021-02-16 10:35AM EST,530,262.15,249.75,253.35,3.26,1.26%,2,38,124.22%
TSLA210226C00540000,2021-02-19 11:22AM EST,540,249.4,240.25,243.6,3.17,1.29%,2,20,133.94%
TSLA210226C00550000,2021-02-19 2:52PM EST,550,231.42,230.2,233.65,-2.63,-1.12%,8,16,128.03%
TSLA210226C00560000,2021-02-12 2:12PM EST,560,234,220.25,223.7,5.33,2.33%,2,15,123.63%
TSLA210226C00570000,2021-02-18 11:36AM EST,570,222.66,209.8,213.6,0,-,1,14,109.47%
TSLA210226C00580000,2021-02-19 3:38PM EST,580,200.2,200.35,203.85,-19.25,-8.77%,2,28,115.09%
TSLA210226C00590000,2021-02-19 2:02PM EST,590,195.8,190.45,193.5,-7.17,-3.53%,9,17,106.49%
TSLA210226C00600000,2021-02-19 2:42PM EST,600,182.19,180.5,183.3,-12.41,-6.38%,41,89,99.17%
TSLA210226C00610000,2021-02-19 10:58AM EST,610,174.55,170.6,174.15,-22.73,-11.52%,2,41,102.98%
TSLA210226C00620000,2021-02-19 10:14AM EST,620,170.05,160.3,164.15,0.7,0.41%,89,79,94.73%
TSLA210226C00630000,2021-02-17 3:37PM EST,630,152.3,150.8,153.9,-16.65,-9.85%,12,32,91.11%
TSLA210226C00640000,2021-02-19 1:48PM EST,640,146.5,140.45,144.45,-3.35,-2.24%,9,153,86.87%
TSLA210226C00650000,2021-02-19 3:35PM EST,650,130.96,131.1,134,-9.04,-6.46%,46,70,82.50%
TSLA210226C00660000,2021-02-19 3:34PM EST,660,120.82,120.8,124.1,-13.08,-9.77%,84,84,75.59%
TSLA210226C00670000,2021-02-19 3:51PM EST,670,112.48,112.35,114.9,-13.22,-10.52%,97,74,81.16%
TSLA210226C00680000,2021-02-19 3:57PM EST,680,103.9,102.65,105.2,-9.1,-8.05%,64,93,77.19%
TSLA210226C00690000,2021-02-19 3:59PM EST,690,93.45,93,95.45,-13.1,-12.29%,39,79,72.85%
TSLA210226C00700000,2021-02-19 3:58PM EST,700,84,83.45,86,-7.29,-7.99%,744,873,69.35%
TSLA210226C00705000,2021-02-19 3:55PM EST,705,79.65,78.75,81.15,-7.01,-8.09%,273,158,67.25%
TSLA210226C00710000,2021-02-19 3:42PM EST,710,72.72,74.05,76.6,-12.58,-14.75%,307,79,65.80%
TSLA210226C00715000,2021-02-19 3:58PM EST,715,70.29,69.45,72,-12.86,-15.47%,128,97,64.26%
TSLA210226C00720000,2021-02-19 3:42PM EST,720,65.73,64.9,67.45,-7.16,-9.82%,191,103,62.73%
TSLA210226C00725000,2021-02-19 3:57PM EST,725,60.95,60.4,62.85,-9.05,-12.93%,143,104,61.00%
TSLA210226C00730000,2021-02-19 3:59PM EST,730,56.3,56,58.55,-9.4,-14.31%,140,80,59.83%
TSLA210226C00735000,2021-02-19 3:47PM EST,735,50.62,51.75,53.6,-9.03,-15.14%,126,171,57.48%
TSLA210226C00740000,2021-02-19 3:59PM EST,740,47.8,47.55,50,-10.85,-18.50%,475,317,57.34%
TSLA210226C00745000,2021-02-19 3:58PM EST,745,44.23,43.5,46,-11.68,-20.89%,231,148,56.38%
TSLA210226C00747500,2021-02-19 3:46PM EST,747.5,40.77,41.55,43.3,-9.25,-18.49%,179,99,54.79%
TSLA210226C00750000,2021-02-19 3:58PM EST,750,40,39.6,41.5,-7.9,-16.49%,906,274,54.53%
TSLA210226C00752500,2021-02-19 2:17PM EST,752.5,37.25,37.7,40.05,-14.9,-28.57%,58,47,54.76%
TSLA210226C00755000,2021-02-19 3:44PM EST,755,36.21,35.85,37.55,-7.99,-18.08%,394,122,53.41%
TSLA210226C00757500,2021-02-19 3:44PM EST,757.5,33.27,34.05,35.7,-13.03,-28.14%,119,53,52.99%
TSLA210226C00760000,2021-02-19 3:59PM EST,760,32.62,32.35,33.95,-8.13,-19.95%,336,336,52.75%
TSLA210226C00762500,2021-02-19 3:52PM EST,762.5,31.2,30.6,32.25,-8.4,-21.21%,67,146,52.39%
TSLA210226C00765000,2021-02-19 3:58PM EST,765,29.22,28.95,30.55,-8.78,-23.11%,247,235,52.05%
TSLA210226C00767500,2021-02-19 3:52PM EST,767.5,27.9,27.4,28.9,-8.9,-24.18%,69,197,51.80%
TSLA210226C00770000,2021-02-19 3:58PM EST,770,26.18,25.85,27.85,-7.76,-22.86%,2847,1431,52.21%
TSLA210226C00772500,2021-02-19 3:52PM EST,772.5,24.99,24.35,26.3,-12.21,-32.82%,263,276,51.92%
TSLA210226C00775000,2021-02-19 3:59PM EST,775,23.32,22.9,23.65,-7.68,-24.77%,1072,1042,50.17%
TSLA210226C00777500,2021-02-19 3:59PM EST,777.5,21.85,21.5,22.25,-8.05,-26.92%,518,325,50.91%
TSLA210226C00780000,2021-02-19 3:59PM EST,780,20.4,20.45,21,-8.1,-28.42%,4976,2103,50.27%
TSLA210226C00782500,2021-02-19 3:59PM EST,782.5,19.4,18.9,19.55,-7.35,-27.48%,1793,764,50.38%
TSLA210226C00785000,2021-02-19 3:59PM EST,785,18.08,17.8,18.25,-7.29,-28.73%,4029,934,50.05%
TSLA210226C00787500,2021-02-19 3:59PM EST,787.5,16.81,16.55,18.1,-7.29,-30.25%,1478,328,50.54%
TSLA210226C00790000,2021-02-19 3:59PM EST,790,15.55,15.45,16.2,-7.4,-32.24%,10478,972,50.41%
TSLA210226C00792500,2021-02-19 3:54PM EST,792.5,14.6,14.4,15.5,-7.1,-32.72%,2090,334,51.23%
TSLA210226C00795000,2021-02-19 3:59PM EST,795,13.7,13.6,13.95,-6.7,-32.84%,2490,977,49.77%
TSLA210226C00797500,2021-02-19 3:59PM EST,797.5,12.6,12.45,13,-7.67,-37.84%,538,409,49.71%
TSLA210226C00800000,2021-02-19 3:59PM EST,800,11.87,11.75,12,-6.55,-35.56%,15141,4304,49.40%
TSLA210226C00802500,2021-02-19 3:59PM EST,802.5,10.95,10.95,11.5,-6.41,-36.92%,361,355,50.30%
TSLA210226C00805000,2021-02-19 3:59PM EST,805,10.1,9.9,10.6,-6.35,-38.60%,1244,849,50.01%
TSLA210226C00807500,2021-02-19 3:58PM EST,807.5,9.4,9.2,10.4,-6.05,-39.16%,475,727,51.56%
TSLA210226C00810000,2021-02-19 3:59PM EST,810,8.85,8.7,9,-5.65,-38.97%,2714,2154,49.62%
TSLA210226C00812500,2021-02-19 3:58PM EST,812.5,8.2,7.8,8.95,-5.6,-40.58%,331,214,51.43%
TSLA210226C00815000,2021-02-19 3:59PM EST,815,7.42,7.35,8.05,-5.58,-42.92%,1109,1048,50.67%
TSLA210226C00817500,2021-02-19 3:59PM EST,817.5,6.9,6.8,7.1,-5.3,-43.44%,181,176,49.57%
